saleshistorykey,realestatepropertycode,salestypedsc,saledate,saleamt,propertystreetnbrnametext,propertyclasstypedsc,coolingtypedsc,dwellingtypedsc,heatingtypedsc,dwellingyearbuiltdate,storiesquantitydsc,fireplacecnt,bedroomcnt,bathroomcnt
751594041,32002324,t Applicable,1980-08-29,58150,1210 S BARTON ST 324,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1939,2.00,0,1,1
751860829,27007776,t Applicable,2016-01-08,380000,4111 S FOUR MILE RUN DR 402,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,1966,1.0,0,2,2
750702309,1009025,t Applicable,1998-03-16,180000,7109 27th RD N,-Single Family Detached,None,11 - 1 Story,Forced hot air,1951,1.00,1,3,0
750963733,11010056,t Applicable,1995-01-13,212500,6916 FAIRFAX DR 316,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1994,2.00,0,0,0
750838441,5024007,t Applicable,1997-11-21,255000,4105 25th ST N,-Single Family Detached,Central air,33 - 2 1/2 sty,Hot water,1937,2.5,1,5,5
751827949,17007026,t Applicable,2017-09-19,690000,1600 CLARENDON BLVD W202,-Condo Mid-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2007,1.0,0,1,2
751547817,30017457,t Applicable,1997-12-12,124000,3369 S STAFFORD ST A1,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,1.00,0,1,2
751618201,34020133,Not Previously Assessed,1985-11-12,170500,1805 CRYSTAL DR 0611S,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1984,1.00,0,2,2
750827181,4038090,t Applicable,2021-03-22,1710000,3557 36th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1966,2.0,2,5,5
750865193,6018006,t Applicable,1989-07-14,317500,4049 21st ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1938,2.0,1,4,4
750812125,4011085,t Applicable,1999-11-29,370000,2713 N POLLARD ST,-Single Family Detached,Central air,"65 - Split-level, 5 levels",Forced hot air,1955,2.0,2,4,5
750826641,4038048,t Applicable,1985-10-01,240000,3100 N MONROE ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1960,2.0,2,6,6
750708877,1025015,t Applicable,2009-11-18,504400,2901 JOHN MARSHALL DR,-Single Family Detached,Central air,32 - 2-Story with Attic,Forced hot air,2013,2.25,2,5,6
751734561,14043071,t Applicable,2022-03-31,585000,880 N POLLARD ST 501,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2000,1.0,0,2,2
750852361,5057037,t Applicable,2000-03-31,290000,3310 21st AVE N,-Single Family Detached,Package unit,102- Accessory Dwelling Unit,Heat pump,2024,1.0,0,8,4
750852361,5057037,t Applicable,2000-03-31,290000,3310 21st AVE N,-Single Family Detached,Central air,31 - 2 Story,Hot water,1920,2.0,0,8,4
750721153,1062024,t Applicable,1984-06-20,129000,2422 N OHIO ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1941,2.0,1,3,3
751825477,17010163,t Applicable,2013-06-27,575000,1800 WILSON BLVD 437,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air,2007,1.0,0,2,2
750831905,5005061,t Applicable,2012-02-22,758000,2249 N WAKEFIELD ST,-Single Family Detached,None,31 - 2 Story,Hot water,1935,2.0,1,4,3
