saleDateKey,saleDate,year,month,day,weekday,quarter
1,1/1/1980,1980,1,1,3,1
2,1/2/1980,1980,1,2,4,1
3,1/3/1980,1980,1,3,5,1
4,1/4/1980,1980,1,4,6,1
5,1/5/1980,1980,1,5,7,1
6,1/6/1980,1980,1,6,1,1
7,1/7/1980,1980,1,7,2,1
8,1/8/1980,1980,1,8,3,1
9,1/9/1980,1980,1,9,4,1
10,1/10/1980,1980,1,10,5,1
11,1/11/1980,1980,1,11,6,1
12,1/12/1980,1980,1,12,7,1
13,1/13/1980,1980,1,13,1,1
14,1/14/1980,1980,1,14,2,1
15,1/15/1980,1980,1,15,3,1
16,1/16/1980,1980,1,16,4,1
17,1/17/1980,1980,1,17,5,1
18,1/18/1980,1980,1,18,6,1
19,1/19/1980,1980,1,19,7,1
20,1/20/1980,1980,1,20,1,1
21,1/21/1980,1980,1,21,2,1
22,1/22/1980,1980,1,22,3,1
23,1/23/1980,1980,1,23,4,1
24,1/24/1980,1980,1,24,5,1
25,1/25/1980,1980,1,25,6,1
26,1/26/1980,1980,1,26,7,1
27,1/27/1980,1980,1,27,1,1
28,1/28/1980,1980,1,28,2,1
29,1/29/1980,1980,1,29,3,1
30,1/30/1980,1980,1,30,4,1
31,1/31/1980,1980,1,31,5,1
32,2/1/1980,1980,2,1,6,1
33,2/2/1980,1980,2,2,7,1
34,2/3/1980,1980,2,3,1,1
35,2/4/1980,1980,2,4,2,1
36,2/5/1980,1980,2,5,3,1
37,2/6/1980,1980,2,6,4,1
38,2/7/1980,1980,2,7,5,1
39,2/8/1980,1980,2,8,6,1
40,2/9/1980,1980,2,9,7,1
41,2/10/1980,1980,2,10,1,1
42,2/11/1980,1980,2,11,2,1
43,2/12/1980,1980,2,12,3,1
44,2/13/1980,1980,2,13,4,1
45,2/14/1980,1980,2,14,5,1
46,2/15/1980,1980,2,15,6,1
47,2/16/1980,1980,2,16,7,1
48,2/17/1980,1980,2,17,1,1
49,2/18/1980,1980,2,18,2,1
50,2/19/1980,1980,2,19,3,1
51,2/20/1980,1980,2,20,4,1
52,2/21/1980,1980,2,21,5,1
53,2/22/1980,1980,2,22,6,1
54,2/23/1980,1980,2,23,7,1
55,2/24/1980,1980,2,24,1,1
56,2/25/1980,1980,2,25,2,1
57,2/26/1980,1980,2,26,3,1
58,2/27/1980,1980,2,27,4,1
59,2/28/1980,1980,2,28,5,1
60,2/29/1980,1980,2,29,6,1
61,3/1/1980,1980,3,1,7,1
62,3/2/1980,1980,3,2,1,1
63,3/3/1980,1980,3,3,2,1
64,3/4/1980,1980,3,4,3,1
65,3/5/1980,1980,3,5,4,1
66,3/6/1980,1980,3,6,5,1
67,3/7/1980,1980,3,7,6,1
68,3/8/1980,1980,3,8,7,1
69,3/9/1980,1980,3,9,1,1
70,3/10/1980,1980,3,10,2,1
71,3/11/1980,1980,3,11,3,1
72,3/12/1980,1980,3,12,4,1
73,3/13/1980,1980,3,13,5,1
74,3/14/1980,1980,3,14,6,1
75,3/15/1980,1980,3,15,7,1
76,3/16/1980,1980,3,16,1,1
77,3/17/1980,1980,3,17,2,1
78,3/18/1980,1980,3,18,3,1
79,3/19/1980,1980,3,19,4,1
80,3/20/1980,1980,3,20,5,1
81,3/21/1980,1980,3,21,6,1
82,3/22/1980,1980,3,22,7,1
83,3/23/1980,1980,3,23,1,1
84,3/24/1980,1980,3,24,2,1
85,3/25/1980,1980,3,25,3,1
86,3/26/1980,1980,3,26,4,1
87,3/27/1980,1980,3,27,5,1
88,3/28/1980,1980,3,28,6,1
89,3/29/1980,1980,3,29,7,1
90,3/30/1980,1980,3,30,1,1
91,3/31/1980,1980,3,31,2,1
92,4/1/1980,1980,4,1,3,2
93,4/2/1980,1980,4,2,4,2
94,4/3/1980,1980,4,3,5,2
95,4/4/1980,1980,4,4,6,2
96,4/5/1980,1980,4,5,7,2
97,4/6/1980,1980,4,6,1,2
98,4/7/1980,1980,4,7,2,2
99,4/8/1980,1980,4,8,3,2
100,4/9/1980,1980,4,9,4,2
101,4/10/1980,1980,4,10,5,2
102,4/11/1980,1980,4,11,6,2
103,4/12/1980,1980,4,12,7,2
104,4/13/1980,1980,4,13,1,2
105,4/14/1980,1980,4,14,2,2
106,4/15/1980,1980,4,15,3,2
107,4/16/1980,1980,4,16,4,2
108,4/17/1980,1980,4,17,5,2
109,4/18/1980,1980,4,18,6,2
110,4/19/1980,1980,4,19,7,2
111,4/20/1980,1980,4,20,1,2
112,4/21/1980,1980,4,21,2,2
113,4/22/1980,1980,4,22,3,2
114,4/23/1980,1980,4,23,4,2
115,4/24/1980,1980,4,24,5,2
116,4/25/1980,1980,4,25,6,2
117,4/26/1980,1980,4,26,7,2
118,4/27/1980,1980,4,27,1,2
119,4/28/1980,1980,4,28,2,2
120,4/29/1980,1980,4,29,3,2
121,4/30/1980,1980,4,30,4,2
122,5/1/1980,1980,5,1,5,2
123,5/2/1980,1980,5,2,6,2
124,5/3/1980,1980,5,3,7,2
125,5/4/1980,1980,5,4,1,2
126,5/5/1980,1980,5,5,2,2
127,5/6/1980,1980,5,6,3,2
128,5/7/1980,1980,5,7,4,2
129,5/8/1980,1980,5,8,5,2
130,5/9/1980,1980,5,9,6,2
